Ano Fato,Data Fato,Data_Hora Fato,Horário Fato,Dia da Semana Fato,Latitude,Longitude,Município,Tentado/Consumado Nat Principal,Desc Longa Subgrupo Complemento Nat,Causa Presumida
2015,4/17/2015,17/04/2015 18:46:00,18:46:00,SEXTA-FEIRA,-21.42025900,-45.95439000,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
2015,4/17/2015,17/04/2015 23:00:00,23:00:00,SEXTA-FEIRA,-21.42521830,-45.95179360,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,4/17/2015,17/04/2015 22:00:00,22:00:00,SEXTA-FEIRA,-21.44337750,-45.94951430,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),ENVOLVIMENTO COM DROGAS
2015,4/18/2015,18/04/2015 21:40:00,21:40:00,SÁBADO,-21.42399210,-45.94922030,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,4/21/2015,21/04/2015 23:39:00,23:39:00,TERÇA-FEIRA,-21.41940650,-45.96214250,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
2015,4/22/2015,22/04/2015 19:23:00,19:23:00,QUARTA-FEIRA,-21.42579360,-45.94778900,ALFENAS,TENTADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,4/22/2015,22/04/2015 19:40:00,19:40:00,QUARTA-FEIRA,-21.39609800,-45.94465570,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,4/22/2015,22/04/2015 22:20:00,22:20:00,QUARTA-FEIRA,-21.43135670,-45.94647300,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
2015,4/22/2015,22/04/2015 23:20:00,23:20:00,QUARTA-FEIRA,-21.41728270,-45.94665860,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),VANTAGEM ECONOMICA
2015,4/23/2015,23/04/2015 19:00:00,19:00:00,QUINTA-FEIRA,-21.44196240,-45.95170550,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),VANTAGEM ECONOMICA
2015,4/23/2015,23/04/2015 20:30:00,20:30:00,QUINTA-FEIRA,-21.43670190,-45.94825040,ALFENAS,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,IGNORADO
2015,4/23/2015,23/04/2015 00:14:00,00:14:00,QUINTA-FEIRA,-21.41897690,-45.94935820,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),VANTAGEM ECONOMICA
2015,4/25/2015,25/04/2015 21:40:00,21:40:00,SÁBADO,-21.42341690,-45.94820900,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,4/26/2015,26/04/2015 01:15:00,01:15:00,DOMINGO,-21.40854720,-45.96185330,ALFENAS,TENTADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
